"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases
Iceland,"208,688",229                                ,0,0
Afghanistan,"208,621","7,894                                ","186,317","14,410"
Kyrgyzstan,"206,592","2,991                                ","196,406","7,195"
El Salvador,"201,785","4,230                                ","179,410","18,145"
Guadeloupe,"201,394","1,007                                ",0,0
Trinidad and Tobago,"187,908","4,326                                ","183,264",318
Maldives,"185,715",311                                ,"163,687","21,717"
Ghana,"171,112","1,462                                ","169,636",14
Namibia,"170,741","4,088                                ","166,452",201
Uganda,"170,400","3,630                                ","100,431","66,339"
Jamaica,"153,629","3,484                                ","102,268","47,877"
Cambodia,"138,697","3,056                                ","135,631",10
Rwanda,"133,090","1,468                                ","131,559",63
Cameroon,"123,993","1,965                                ","118,616","3,412"
Malta,"117,062",824                                ,"115,623",615
Barbados,"106,157",571                                ,"105,570",16
Angola,"105,184","1,931                                ","103,216",37
Channel Islands,"101,160",223                                ,"100,834",103
French Guiana,"98,041",420                                ,"11,254","86,367"
DRC,"95,514","1,463                                ","84,264","9,787"
Senegal,"88,902","1,971                                ","86,929",2
Malawi,"88,559","2,686                                ","85,369",504
Ivory Coast,"87,997",833                                ,"87,149",15
Suriname,"82,227","1,400                                ",0,0
New Caledonia,"79,845",314                                ,"79,526",5
French Polynesia,"77,957",649                                ,0,0
Eswatini,"74,133","1,422                                ","72,676",35
Guyana,"72,984","1,295                                ","71,585",104
Belize,"70,660",688                                ,"69,949",23
Fiji,"68,848",883                                ,"66,794","1,171"
Madagascar,"67,827","1,419                                ","66,370",38
Sudan,"63,754","5,008                                ","58,277",469
Mauritania,"63,665",997                                ,"62,437",231
Cabo Verde,"63,229",413                                ,"62,756",60
Bhutan,"62,605",21                                ,"61,564","1,020"
Syria,"57,453","3,164                                ","54,289",0
Burundi,"53,492",38                                ,"53,394",60
Seychelles,"50,665",172                                ,"50,440",53
Gabon,"48,981",306                                ,"48,674",1
Andorra,"47,850",165                                ,"47,563",122
Papua New Guinea,"46,750",670                                ,"43,982","2,098"
Curaçao,"45,986",295                                ,"44,720",971
Aruba,"43,993",236                                ,"42,438","1,319"
Tanzania,"42,664",846                                ,0,0
Mayotte,"42,002",188                                ,0,0
Mauritius,"41,662","1,043                                ","39,967",652
Togo,"39,355",290                                ,"39,061",4
Guinea,"38,240",467                                ,"37,757",16
Isle of Man,"38,008",116                                ,0,0
Bahamas,"37,491",833                                ,"36,366",292
Lesotho,"34,790",723                                ,"25,980","8,087"
Faeroe Islands,"34,658",28                                ,0,0
Haiti,"34,076",860                                ,"33,033",183
Mali,"32,786",743                                ,"31,957",86
Cayman Islands,"31,472",37                                ,"8,553","22,882"
Saint Lucia,"29,803",409                                ,"29,095",299
Benin,"27,989",163                                ,"27,823",3
Somalia,"27,318","1,361                                ","13,182","12,775"
Congo,"25,375",386                                ,"24,006",983
Solomon Islands,"24,575",153                                ,0,0
San Marino,"23,427",122                                ,"23,276",29
Timor-Leste,"23,415",138                                ,"23,102",175
Micronesia,"22,676",58                                ,0,0
Burkina Faso,"22,025",396                                ,"21,596",33
Liechtenstein,"21,351",89                                ,"21,239",23
Gibraltar,"20,399",111                                ,"16,579","3,709"
Grenada,"19,680",238                                ,"19,358",84
Bermuda,"18,771",158                                ,"18,607",6
Nicaragua,"18,491",225                                ,"4,225","14,041"
South Sudan,"18,368",138                                ,"18,115",115
Tajikistan,"17,786",125                                ,"17,264",397
Equatorial Guinea,"17,190",183                                ,"16,883",124
Tonga,"16,779",13                                ,"15,638","1,128"
Samoa,"16,087",29                                ,"1,605","14,453"
Monaco,"16,056",65                                ,"15,982",9
Dominica,"15,760",74                                ,"15,673",13
Djibouti,"15,690",189                                ,"15,427",74
Marshall Islands,"15,584",17                                ,"15,528",39
CAR,"15,368",113                                ,"15,200",55
Gambia,"12,586",372                                ,"12,189",25
Saint Martin,"12,233",63                                ,"1,399","10,771"
Vanuatu,"12,014",14                                ,"11,976",24
Greenland,"11,971",21                                ,"2,761","9,189"
Yemen,"11,945","2,159                                ","9,124",662
Caribbean Netherlands,"11,661",38                                ,"10,476","1,147"
Sint Maarten,"11,014",91                                ,"10,905",18
Eritrea,"10,189",103                                ,"10,086",0
Niger,"9,931",312                                ,"8,890",729
St. Vincent Grenadines,"9,585",123                                ,"9,454",8
Antigua and Barbuda,"9,106",146                                ,"8,954",6
Comoros,"8,992",161                                ,"8,827",4
Guinea-Bissau,"8,947",176                                ,"8,656",115
Liberia,"8,062",294                                ,"7,766",2
Sierra Leone,"7,760",126                                ,0,0
Chad,"7,652",194                                ,"4,874","2,584"
British Virgin Islands,"7,305",64                                ,0,0
Cook Islands,"7,019",2                                ,"7,002",15
Saint Kitts and Nevis,"6,592",46                                ,"6,537",9
Turks and Caicos,"6,537",38                                ,"6,474",25
Sao Tome and Principe,"6,280",77                                ,"6,202",1
Palau,"5,986",9                                ,"5,976",1
St. Barth,"5,420",6                                ,0,0
Kiribati,"5,008",18                                ,"2,703","2,287"
Nauru,"4,621",1                                ,"4,609",11
Anguilla,"3,904",12                                ,"3,879",13
Macao,"3,497",121                                ,"3,357",19
Saint Pierre Miquelon,"3,452",2                                ,"2,449","1,001"
Wallis and Futuna,"3,427",7                                ,438,"2,982"
Tuvalu,"2,805", ,0,"2,805"
MS Zaandam,9,2                                ,7,0
Tokelau,5, ,0,5
China,"503,302","5,272                                ","379,053","118,977"
